90
0	1698	1584
1	1335	736
2	1055	798
3	1124	1885
4	1517	1860
5	901	414
6	1264	1111
7	208	1723
8	1785	632
9	1386	1936
10	1148	1340
11	427	1863
12	1293	5
13	1074	1414
14	432	1317
15	283	341
16	1298	1953
17	271	1843
18	1155	1508
19	159	1234
20	238	1080
21	440	598
22	1616	347
23	390	158
24	1331	23
25	1924	1967
26	1118	761
27	1392	1419
28	1012	1732
29	1310	1091
30	1704	412
31	1159	1467
32	648	1420
33	9	199
34	1590	654
35	1952	1757
36	476	1411
37	136	516
38	1469	1719
39	499	679
40	1213	659
41	242	1740
42	1412	130
43	531	671
44	1284	1186
45	1973	1452
46	534	862
47	966	1151
48	102	218
49	1239	1353
50	131	1251
51	1566	409
52	364	1241
53	1946	1720
54	1486	154
55	392	80
56	793	1771
57	866	1932
58	38	382
59	1867	344
60	1275	74
61	730	1492
62	103	903
63	774	472
64	844	1601
65	1091	391
66	852	1818
67	11	1858
68	1448	394
69	1039	215
70	732	1640
71	415	1177
72	953	1222
73	351	1879
74	30	852
75	1488	1784
76	1317	707
77	115	357
78	1784	284
79	328	1
80	399	189
81	428	1309
82	1709	1292
83	607	1425
84	324	1602
85	1230	973
86	375	1259
87	1894	878
88	1868	103
89	825	1210
0.09872424161832175
