80
0	1931	438
1	1308	205
2	504	1049
3	830	156
4	405	1911
5	249	1507
6	1462	846
7	802	464
8	982	1232
9	854	43
10	1889	220
11	1018	535
12	38	238
13	963	907
14	635	1091
15	1635	1257
16	1377	303
17	799	566
18	1198	1873
19	627	1286
20	296	65
21	1384	554
22	1516	1477
23	1170	1212
24	1094	1267
25	166	221
26	253	106
27	836	1551
28	245	1207
29	1169	1181
30	19	1617
31	160	1436
32	1907	818
33	1496	593
34	475	693
35	655	1390
36	976	1872
37	497	899
38	759	593
39	836	66
40	1376	1338
41	423	158
42	1188	1725
43	1342	1332
44	1780	1372
45	1894	1607
46	672	1820
47	700	596
48	1458	1970
49	1994	1588
50	796	939
51	1829	1734
52	1452	1786
53	1313	1460
54	7	1098
55	1831	527
56	758	1116
57	761	1643
58	1849	744
59	153	966
60	1734	1567
61	1474	418
62	1707	860
63	690	1332
64	1407	1403
65	1624	622
66	983	1942
67	1890	1413
68	1887	95
69	464	1862
70	171	1617
71	1441	752
72	1581	71
73	427	391
74	756	1149
75	608	304
76	1397	171
77	588	1274
78	401	1600
79	1779	396
0.05084661687823279
