50
0	1826	160
1	672	193
2	1324	94
3	1905	132
4	1805	124
5	776	33
6	1646	159
7	627	98
8	474	191
9	373	76
10	1365	115
11	659	135
12	1670	20
13	66	196
14	925	99
15	520	39
16	1141	147
17	931	86
18	1217	146
19	1643	46
20	1636	81
21	1166	25
22	1749	84
23	1071	20
24	1985	179
25	601	116
26	1434	173
27	1246	50
28	427	167
29	1255	95
30	1653	68
31	1452	95
32	1669	4
33	1071	4
34	656	49
35	791	111
36	1802	45
37	1691	22
38	490	67
39	1160	35
40	995	142
41	1359	64
42	1792	47
43	432	84
44	845	152
45	1217	192
46	240	26
47	1818	78
48	438	93
49	864	130
