50
0	1670	119
1	488	26
2	943	2
3	797	91
4	302	70
5	730	3
6	1247	111
7	1303	50
8	819	129
9	114	97
10	1327	160
11	618	21
12	872	123
13	1192	55
14	1295	144
15	1762	141
16	266	175
17	718	103
18	1316	106
19	1756	76
20	648	55
21	1261	104
22	456	36
23	1928	181
24	1488	125
25	562	7
26	576	19
27	1687	62
28	1094	103
29	650	29
30	239	193
31	1304	154
32	897	49
33	1134	66
34	445	81
35	659	80
36	769	64
37	1873	157
38	1939	41
39	180	94
40	1279	147
41	379	175
42	1997	119
43	1814	95
44	244	103
45	681	5
46	734	41
47	1222	181
48	525	55
49	1420	146
