100
0	170	831
1	1467	1658
2	1635	731
3	1514	1019
4	1074	789
5	1440	1313
6	361	1542
7	1449	1200
8	1107	637
9	1780	1746
10	1395	68
11	1719	1207
12	1880	1843
13	1061	1325
14	1056	957
15	1075	307
16	132	1956
17	1238	866
18	250	811
19	1788	1928
20	569	1348
21	516	1893
22	1130	1056
23	1074	1740
24	1342	757
25	1610	1636
26	1445	284
27	518	1240
28	366	136
29	721	1423
30	1001	856
31	1057	1727
32	1169	1813
33	1044	1588
34	1199	995
35	1601	48
36	1474	1462
37	1141	522
38	1081	150
39	1852	1995
40	201	918
41	976	12
42	1840	1870
43	395	1741
44	1092	1308
45	960	1497
46	232	960
47	1641	192
48	1645	1542
49	1802	362
50	1834	171
51	1680	1647
52	566	1641
53	1505	1926
54	1608	181
55	1610	633
56	1418	935
57	312	1234
58	1690	1125
59	1440	1316
60	676	1615
61	932	1297
62	880	431
63	97	359
64	873	673
65	1868	915
66	750	231
67	1644	612
68	46	1712
69	160	1711
70	1838	81
71	257	1522
72	1156	653
73	360	505
74	1860	1277
75	1036	635
76	1700	1836
77	1078	1670
78	384	1495
79	231	1087
80	195	1530
81	898	601
82	927	1042
83	934	455
84	739	350
85	1997	1920
86	1900	453
87	825	855
88	1330	602
89	281	563
90	358	1701
91	1035	675
92	161	1054
93	1365	373
94	1003	1781
95	1692	811
96	562	140
97	210	1338
98	1377	1919
99	231	809
0.18136874352670007
