100
0	1371	150
1	1168	20
2	1655	143
3	715	88
4	1807	54
5	512	137
6	844	108
7	460	112
8	48	157
9	539	73
10	1078	75
11	471	13
12	677	42
13	682	68
14	1352	132
15	1315	169
16	852	123
17	276	55
18	522	141
19	1789	153
20	1370	81
21	35	88
22	503	34
23	1381	150
24	1810	102
25	1965	172
26	1353	48
27	1205	48
28	998	105
29	1743	108
30	125	161
31	1744	17
32	528	172
33	1624	172
34	299	172
35	1639	14
36	1826	70
37	1192	196
38	123	173
39	1075	9
40	1164	176
41	609	83
42	895	42
43	568	97
44	1153	142
45	1034	25
46	883	60
47	1674	76
48	433	91
49	1511	11
50	376	89
51	650	127
52	1373	3
53	910	137
54	759	149
55	752	30
56	598	92
57	134	193
58	25	172
59	29	91
60	1664	122
61	761	184
62	1135	52
63	799	24
64	1091	162
65	1985	21
66	261	49
67	815	190
68	1358	196
69	703	56
70	1543	34
71	547	3
72	816	10
73	216	197
74	513	34
75	1883	106
76	1900	84
77	118	86
78	1236	193
79	1175	107
80	1883	157
81	1507	184
82	1642	34
83	674	84
84	575	21
85	871	105
86	854	54
87	659	52
88	825	90
89	1962	180
90	1544	37
91	1060	114
92	551	128
93	560	23
94	619	161
95	411	62
96	1964	97
97	1734	172
98	426	171
99	902	48
