90
0	171	168
1	1636	192
2	1795	98
3	200	6
4	254	177
5	693	55
6	1835	104
7	598	47
8	782	44
9	1993	89
10	1801	177
11	400	177
12	783	114
13	1353	69
14	891	49
15	122	23
16	734	80
17	1055	194
18	1377	28
19	1491	13
20	268	20
21	1175	32
22	1829	21
23	1071	78
24	600	87
25	704	156
26	991	116
27	877	51
28	107	76
29	1374	106
30	940	139
31	1939	125
32	1860	78
33	316	68
34	1423	26
35	1174	19
36	1455	90
37	1655	78
38	1773	164
39	1999	48
40	1919	164
41	801	20
42	956	107
43	676	163
44	1858	64
45	435	78
46	1805	109
47	879	109
48	1585	131
49	378	179
50	1255	28
51	1661	2
52	1989	62
53	1979	96
54	436	170
55	1093	172
56	846	181
57	422	19
58	1753	124
59	1463	125
60	1416	72
61	176	98
62	410	190
63	809	168
64	1870	154
65	1626	159
66	864	65
67	1088	71
68	973	118
69	1564	138
70	1933	181
71	822	77
72	1922	188
73	1322	173
74	246	168
75	558	189
76	246	160
77	927	27
78	1824	183
79	1134	159
80	25	31
81	281	134
82	24	200
83	1053	119
84	644	117
85	1306	21
86	1032	91
87	893	42
88	1744	160
89	165	182
